Devices
1000
,,AMTI7377 - Force,
Frame,Sub Frame,Fz
,,N
414,0,0
414,1,0
414,2,0
414,3,0
414,4,0
414,5,0
414,6,0
414,7,0
414,8,0
414,9,0
415,0,0
415,1,0
415,2,0
415,3,0
415,4,0
415,5,0
415,6,0
415,7,0
415,8,0
415,9,0
416,0,0
416,1,0
416,2,0
416,3,0
416,4,0
416,5,0
416,6,0
416,7,0
416,8,0
416,9,0
417,0,0
417,1,0
417,2,0
417,3,0
417,4,0
417,5,0
417,6,0
417,7,0
417,8,0
417,9,0
418,0,0
418,1,0
418,2,0
418,3,0
418,4,0
418,5,0
418,6,0
418,7,0
418,8,0
418,9,0
419,0,0
419,1,0
419,2,0
419,3,0
419,4,0
419,5,0
419,6,0
419,7,0
419,8,0
419,9,0
420,0,0
420,1,0
420,2,0
420,3,0
420,4,0
420,5,0
420,6,0
420,7,0
420,8,0
420,9,0
421,0,0
421,1,0
421,2,0
421,3,0
421,4,0
421,5,0
421,6,0
421,7,0
421,8,0
421,9,0
422,0,0
422,1,0
422,2,0
422,3,0
422,4,0
422,5,0
422,6,0
422,7,0
422,8,0
422,9,0
423,0,0
423,1,0
423,2,0
423,3,0
423,4,0
423,5,0
423,6,0
423,7,0
423,8,0
423,9,0
424,0,0
424,1,0
424,2,0
424,3,0
424,4,0
424,5,0
424,6,0
424,7,0
424,8,0
424,9,0
425,0,0
425,1,0
425,2,0
425,3,0
425,4,0
425,5,0
425,6,0
425,7,0
425,8,0
425,9,0
426,0,0
426,1,0
426,2,0
426,3,0
426,4,0
426,5,0
426,6,0
426,7,0
426,8,0
426,9,0
427,0,0
427,1,0
427,2,0
427,3,0
427,4,0
427,5,0
427,6,0
427,7,0
427,8,0
427,9,0
428,0,0
428,1,0
428,2,0
428,3,0
428,4,0
428,5,0
428,6,0
428,7,0
428,8,0
428,9,0
429,0,0
429,1,0
429,2,0
429,3,0
429,4,0
429,5,0
429,6,0
429,7,0
429,8,0
429,9,0
430,0,0
430,1,0
430,2,0
430,3,0
430,4,0
430,5,0
430,6,0
430,7,0
430,8,0
430,9,0
431,0,0
431,1,0
431,2,0
431,3,0
431,4,0
431,5,0
431,6,0
431,7,0
431,8,0
431,9,0
432,0,0
432,1,0
432,2,0
432,3,0
432,4,0
432,5,0
432,6,0
432,7,0
432,8,0
432,9,0
433,0,0
433,1,0
433,2,0
433,3,0
433,4,0
433,5,0
433,6,0
433,7,0
433,8,0
433,9,0
434,0,0
434,1,0
434,2,0
434,3,0
434,4,0
434,5,0
434,6,0
434,7,0
434,8,0
434,9,0
435,0,0
435,1,0
435,2,0
435,3,0
435,4,0
435,5,0
435,6,0
435,7,0
435,8,0
435,9,0
436,0,0
436,1,-26.6335
436,2,-29.0091
436,3,-33.2513
436,4,-37.8328
436,5,-39.5297
436,6,-48.3534
436,7,-53.444
436,8,-62.9464
436,9,-77.5394
437,0,-100.786
437,1,-137.778
437,2,-174.77
437,3,-219.567
437,4,-252.825
437,5,-267.249
437,6,-280.145
437,7,-275.224
437,8,-266.4
437,9,-257.407
438,0,-245.02
438,1,-235.008
438,2,-226.184
438,3,-218.04
438,4,-217.361
438,5,-211.082
438,6,-215.664
438,7,-212.44
438,8,-213.967
438,9,-215.834
439,0,-222.282
439,1,-224.148
439,2,-233.142
439,3,-233.311
439,4,-239.081
439,5,-241.796
439,6,-242.814
439,7,-246.547
439,8,-245.189
439,9,-252.316
440,0,-251.298
440,1,-252.656
440,2,-253.504
440,3,-254.352
440,4,-255.031
440,5,-254.013
440,6,-251.298
440,7,-252.146
440,8,-249.941
440,9,-254.522
441,0,-248.922
441,1,-252.656
441,2,-251.977
441,3,-251.468
441,4,-255.371
441,5,-249.771
441,6,-250.28
441,7,-252.316
441,8,-248.922
441,9,-250.619
442,0,-249.262
442,1,-252.656
442,2,-252.486
442,3,-252.656
442,4,-254.692
442,5,-256.728
442,6,-259.273
442,7,-257.067
442,8,-263.855
442,9,-264.873
443,0,-266.23
443,1,-268.945
443,2,-267.079
443,3,-272.848
443,4,-274.206
443,5,-278.448
443,6,-281.672
443,7,-284.047
443,8,-296.774
443,9,-299.659
444,0,-308.991
