Devices
1000
,,AMTI7377 - Force,
Frame,Sub Frame,Fz
,,N
294,0,0
294,1,0
294,2,0
294,3,0
294,4,0
294,5,0
294,6,0
294,7,0
294,8,0
294,9,0
295,0,0
295,1,0
295,2,0
295,3,0
295,4,0
295,5,0
295,6,0
295,7,0
295,8,0
295,9,0
296,0,0
296,1,0
296,2,0
296,3,0
296,4,0
296,5,0
296,6,0
296,7,0
296,8,0
296,9,0
297,0,0
297,1,0
297,2,0
297,3,0
297,4,0
297,5,0
297,6,0
297,7,0
297,8,0
297,9,0
298,0,0
298,1,0
298,2,0
298,3,0
298,4,0
298,5,0
298,6,0
298,7,0
298,8,0
298,9,0
299,0,0
299,1,0
299,2,0
299,3,0
299,4,0
299,5,0
299,6,0
299,7,0
299,8,0
299,9,0
300,0,0
300,1,0
300,2,0
300,3,0
300,4,0
300,5,0
300,6,0
300,7,0
300,8,0
300,9,0
301,0,0
301,1,0
301,2,0
301,3,0
301,4,0
301,5,0
301,6,0
301,7,0
301,8,0
301,9,0
302,0,0
302,1,0
302,2,0
302,3,0
302,4,0
302,5,0
302,6,0
302,7,0
302,8,0
302,9,0
303,0,0
303,1,0
303,2,0
303,3,0
303,4,0
303,5,0
303,6,0
303,7,0
303,8,0
303,9,0
304,0,0
304,1,0
304,2,0
304,3,0
304,4,0
304,5,0
304,6,0
304,7,0
304,8,0
304,9,0
305,0,0
305,1,0
305,2,0
305,3,0
305,4,0
305,5,0
305,6,0
305,7,0
305,8,0
305,9,0
306,0,0
306,1,0
306,2,0
306,3,0
306,4,0
306,5,0
306,6,0
306,7,0
306,8,-25.7851
306,9,-31.0454
307,0,-29.3485
307,1,-34.6088
307,2,-38.8509
307,3,-47.8443
307,4,-51.5774
307,5,-61.0798
307,6,-73.8063
307,7,-93.1505
307,8,-124.203
307,9,-159.498
308,0,-200.732
308,1,-239.081
308,2,-263.346
308,3,-279.127
308,4,-282.351
308,5,-278.787
308,6,-269.964
308,7,-262.328
308,8,-255.031
308,9,-250.28
309,0,-246.207
309,1,-243.662
309,2,-242.305
309,3,-246.207
309,4,-248.922
309,5,-253.674
309,6,-257.746
309,7,-258.425
309,8,-265.891
309,9,-269.794
310,0,-276.581
310,1,-283.029
310,2,-289.138
310,3,-292.362
310,4,-295.586
310,5,-301.016
310,6,-307.973
310,7,-309.5
310,8,-310.688
310,9,-314.082
311,0,-314.082
311,1,-316.797
311,2,-315.609
311,3,-319.682
311,4,-317.985
311,5,-319.173
311,6,-318.324
311,7,-319.003
311,8,-319.512
311,9,-322.227
312,0,-318.494
312,1,-322.397
312,2,-322.057
312,3,-322.057
312,4,-324.942
312,5,-325.451
312,6,-326.299
312,7,-326.639
312,8,-330.372
312,9,-332.408
313,0,-332.747
313,1,-339.026
313,2,-341.571
313,3,-343.438
313,4,-346.153
313,5,-346.831
313,6,-349.207
313,7,-353.449
313,8,-352.77
313,9,-355.825
314,0,-359.218
314,1,-361.255
314,2,-368.042
314,3,-369.4
